 Model name: ModelR
 LAYER             H      P-VEL     S-VEL   DENSITY  
     1       2.000      5.424      3.213      2.605    
     2       2.000      5.424      3.213      2.605    
     3       2.000      5.424      3.213      2.605    
     4       2.000      5.424      3.213      2.605    
     5       2.000      5.424      3.213      2.605    
     6       2.000      5.995      3.520      2.716    
     7       2.000      5.995      3.520      2.716    
     8       2.000      5.995      3.520      2.716    
     9       2.000      5.995      3.520      2.716    
    10       2.000      5.995      3.520      2.716    
    11       2.000      6.353      3.705      2.797    
    12       2.000      6.353      3.705      2.797    
    13       2.000      6.353      3.705      2.797    
    14       2.000      6.353      3.705      2.797    
    15       2.000      6.353      3.705      2.797    
    16       2.000      6.841      3.952      2.923    
    17       2.000      6.841      3.952      2.923    
    18       2.000      6.841      3.952      2.923    
    19       2.000      6.841      3.952      2.923    
    20       2.000      6.841      3.952      2.923    
    21       2.000      7.718      4.400      3.193    
    22       2.000      7.718      4.400      3.193    
    23       2.000      7.718      4.400      3.193    
    24       2.000      7.718      4.400      3.193    
    25       2.000      7.718      4.400      3.193    
    26       2.000      7.699      4.390      3.187    
    27       2.000      7.699      4.390      3.187    
    28       2.000      7.699      4.390      3.187    
    29       2.000      7.699      4.390      3.187    
    30       2.000      7.699      4.390      3.187    
    31       2.000      7.680      4.380      3.180    
    32       2.000      7.680      4.380      3.180    
    33       2.000      7.680      4.380      3.180    
    34       2.000      7.680      4.380      3.180    
    35       2.000      7.680      4.380      3.180    
    36       2.000      7.680      4.380      3.180    
    37       2.000      7.680      4.380      3.180    
    38       2.000      7.680      4.380      3.180    
    39       2.000      7.680      4.380      3.180    
    40       2.000      7.680      4.380      3.180    
    41       2.000      7.641      4.360      3.168    
    42       2.000      7.641      4.360      3.168    
    43       2.000      7.641      4.360      3.168    
    44       2.000      7.641      4.360      3.168    
    45       2.000      7.641      4.360      3.168    
    46       2.000      7.641      4.360      3.168    
    47       2.000      7.641      4.360      3.168    
    48       2.000      7.641      4.360      3.168    
    49       2.000      7.641      4.360      3.168    
    50       2.000      7.641      4.360      3.168    
    51       2.000      7.756      4.420      3.206    
    52       2.000      7.756      4.420      3.206    
    53       2.000      7.756      4.420      3.206    
    54       2.000      7.756      4.420      3.206    
    55       2.000      7.756      4.420      3.206    
    56       2.000      7.756      4.420      3.206    
    57       2.000      7.756      4.420      3.206    
    58       2.000      7.756      4.420      3.206    
    59       2.000      7.756      4.420      3.206    
    60       2.000      7.756      4.420      3.206    
    61       2.000      7.906      4.500      3.258    
    62       2.000      7.906      4.500      3.258    
    63       2.000      7.906      4.500      3.258    
    64       2.000      7.906      4.500      3.258    
    65       2.000      7.906      4.500      3.258    
    66       2.000      7.906      4.500      3.258    
    67       2.000      7.906      4.500      3.258    
    68       2.000      7.906      4.500      3.258    
    69       2.000      7.906      4.500      3.258    
    70       2.000      7.906      4.500      3.258    
    71       2.000      7.906      4.500      3.258    
    72       2.000      7.906      4.500      3.258    
    73       2.000      7.906      4.500      3.258    
    74       2.000      7.906      4.500      3.258    
    75       2.000      7.906      4.500      3.258    
    76       2.000      7.906      4.500      3.258    
    77       2.000      7.906      4.500      3.258    
    78       2.000      7.906      4.500      3.258    
    79       2.000      7.906      4.500      3.258    
    80       2.000      7.906      4.500      3.258    
    81       2.000      7.906      4.500      3.258    
    82       2.000      7.906      4.500      3.258    
    83       2.000      7.906      4.500      3.258    
    84       2.000      7.906      4.500      3.258    
    85       2.000      7.906      4.500      3.258    
    86       2.000      7.906      4.500      3.258    
    87       2.000      7.906      4.500      3.258    
    88       2.000      7.906      4.500      3.258    
    89       2.000      7.906      4.500      3.258    
    90       2.000      7.906      4.500      3.258    
    91       2.000      7.906      4.500      3.258    
    92       2.000      7.906      4.500      3.258    
    93       2.000      7.906      4.500      3.258    
    94       2.000      7.906      4.500      3.258    
    95       2.000      7.906      4.500      3.258    
    96       2.000      7.906      4.500      3.258    
    97       2.000      7.906      4.500      3.258    
    98       2.000      7.906      4.500      3.258    
    99       2.000      7.906      4.500      3.258    
   100       2.000      7.906      4.500      3.258    
   101       5.000      7.906      4.500      3.258    
   102       5.000      7.906      4.500      3.258    
   103       5.000      7.906      4.500      3.258    
   104       5.000      7.906      4.500      3.258    
   105       5.000      7.906      4.500      3.258    
   106       5.000      7.906      4.500      3.258    
   107       5.000      7.906      4.500      3.258    
   108       5.000      7.906      4.500      3.258    
   109       5.000      7.906      4.500      3.258    
   110       5.000      7.906      4.500      3.258    
   111       5.000      7.906      4.500      3.258    
   112       5.000      7.906      4.500      3.258    
   113       5.000      7.906      4.500      3.258    
   114       5.000      7.906      4.500      3.258    
   115       5.000      7.906      4.500      3.258    
   116       5.000      7.906      4.500      3.258    
   117       5.000      7.906      4.500      3.258    
   118       5.000      7.906      4.500      3.258    
   119       5.000      7.906      4.500      3.258    
   120       5.000      7.906      4.500      3.258    
   121       5.000      7.906      4.500      3.258    
   122       5.000      7.906      4.500      3.258    
   123       5.000      7.906      4.500      3.258    
   124       5.000      7.906      4.500      3.258    
   125       5.000      7.906      4.500      3.258    
   126       5.000      7.906      4.500      3.258    
   127       5.000      7.906      4.500      3.258    
   128       5.000      7.906      4.500      3.258    
   129       5.000      7.906      4.500      3.258    
   130       5.000      7.906      4.500      3.258    
   131       5.000      7.906      4.500      3.258    
   132       5.000      7.906      4.500      3.258    
   133       5.000      7.906      4.500      3.258    
   134       5.000      7.906      4.500      3.258    
   135       5.000      7.906      4.500      3.258    
   136       5.000      7.906      4.500      3.258    
   137       5.000      7.906      4.500      3.258    
   138       5.000      7.906      4.500      3.258    
   139       5.000      7.906      4.500      3.258    
   140       5.000      7.906      4.500      3.258    
   141       5.000      7.906      4.500      3.258    
   142       5.000      7.906      4.500      3.258    
   143       5.000      7.906      4.500      3.258    
   144       5.000      7.906      4.500      3.258    
   145       5.000      7.906      4.500      3.258    
   146       5.000      7.906      4.500      3.258    
   147       5.000      7.906      4.500      3.258    
   148       5.000      7.906      4.500      3.258    
   149       5.000      7.906      4.500      3.258    
   150       5.000      7.906      4.500      3.258    
   151       10.00      7.906      4.500      3.258    
   152       10.00      7.906      4.500      3.258    
   153       10.00      7.906      4.500      3.258    
   154       10.00      7.906      4.500      3.258    
   155       10.00      7.906      4.500      3.258    
   156       10.00      7.906      4.500      3.258    
   157       10.00      7.906      4.500      3.258    
   158       10.00      7.906      4.500      3.258    
   159       10.00      7.906      4.500      3.258    
   160       10.00      7.906      4.500      3.258    
   161       10.00      7.906      4.500      3.258    
   162       10.00      7.906      4.500      3.258    
   163       10.00      7.906      4.500      3.258    
   164       10.00      7.906      4.500      3.258    
   165       10.00      7.906      4.500      3.258    
   166       10.00      7.906      4.500      3.258    
   167       10.00      7.906      4.500      3.258    
   168       10.00      7.906      4.500      3.258    
   169       10.00      7.906      4.500      3.258    
   170       10.00      7.906      4.500      3.258    
   171       10.00      7.906      4.500      3.258    
   172       10.00      7.906      4.500      3.258    
   173       10.00      7.906      4.500      3.258    
   174       10.00      7.906      4.500      3.258    
   175       10.00      7.906      4.500      3.258    
   176       10.00      7.906      4.500      3.258    
   177       10.00      7.906      4.500      3.258    
   178       10.00      7.906      4.500      3.258    
   179       10.00      7.906      4.500      3.258    
   180       10.00      7.906      4.500      3.258    
   181       10.00      7.906      4.500      3.258    
   182       10.00      7.906      4.500      3.258    
   183       10.00      7.906      4.500      3.258    
   184       10.00      7.906      4.500      3.258    
   185       10.00      7.906      4.500      3.258    
   186       10.00      7.906      4.500      3.258    
   187       10.00      7.906      4.500      3.258    
   188       10.00      7.906      4.500      3.258    
   189       10.00      7.906      4.500      3.258    
   190       10.00      7.906      4.500      3.258    
   191       10.00      7.906      4.500      3.258    
   192       10.00      7.906      4.500      3.258    
   193       10.00      7.906      4.500      3.258    
   194       10.00      7.906      4.500      3.258    
   195       10.00      7.906      4.500      3.258    
   196       10.00      11.94      6.900      5.000    
   197       10.00      11.94      6.900      5.000    
   198       10.00      11.94      6.900      5.000    
   199       10.00      11.94      6.900      5.000    
   200       10.00      11.94      6.900      5.000    
